id,actor,character,total,img_url,complete,alive
a,Sean Bean,Eddard Stark,9,https://images-na.ssl-images-amazon.com/images/M/MV5BZjhmZWZjZjktNTJhYS00ZmViLTk0ZTUtYWVmNjZjM2NlNTk5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
b,Mark Addy,Robert Baratheon,7,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmE1NDVlOTgtOGEwMS00ZGQ3LTljNTUtYjUxNzIzN2ZlODIwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._CR280,0,720,720_SS90_.jpg",yes,FALSE
c,Nikolaj Coster-Waldau,Jaime Lannister,43,https://images-na.ssl-images-amazon.com/images/M/MV5BM2IwNWZlOWItZGZlZC00MzNiLTk3MDUtZjJiZDk5MTY1ZjUwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
d,Michelle Fairley,Catelyn Stark,25,https://images-na.ssl-images-amazon.com/images/M/MV5BN2Q0NGM1YTMtMzg5Yi00OTdkLWFjZWYtMTNlZjAzMmU4ZDZkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SS90_.jpg,yes,FALSE
e,Lena Headey,Cersei Lannister,52,https://images-na.ssl-images-amazon.com/images/M/MV5BYTk0MGZjOTctZDU4My00MTNkLTk2ZjgtOGNkZGM5Y2MxMTMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
f,Emilia Clarke,Daenerys Targaryen,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BODU4OTcwNDc2Nl5BMl5BanBnXkFtZTgwOTIwNTY0NTE@._V1_UX100_CR0,0,100,100_AL_.jpg-na.ssl-images-amazon.com/images/M/MV5BNzE4N2IxYzctODE1YS00OTYxLThlZmEtOGI0NGJkNjhmZTYyXkEyXkFqcGdeQXVyMjAyODE5MDg@._V1_UY100_CR39,0,100,100_AL_.jpg",yes,TRUE
g,Iain Glen,Jorah Mormont,42,https://images-na.ssl-images-amazon.com/images/M/MV5BYzY2MDgwNGQtYjIxZS00ZDA3LWJmMmItZGU3NTQyZTQzODhiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
h,Harry Lloyd,Viserys Targaryen,5,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNzIxMTU1OV5BMl5BanBnXkFtZTcwNzI2ODg5NA@@._V1_UY100_CR25,0,100,100_AL_.jpg",yes,FALSE
i,Kit Harington,Jon Snow,49,https://images-na.ssl-images-amazon.com/images/M/MV5BZmE0MDVmMzctNjEzMS00Mzk2LTliYTktZDk0YThiMmI5NTM1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
j,Sophie Turner,Sansa Stark,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BODk2YzgyNzEtNzg3OS00NzIwLTkxN2UtMTNmNWFkOWRkOTY2XkEyXkFqcGdeQXVyNjc0MTY2NjA@._V1_UY100_CR36,0,100,100_AL_.jpg",yes,TRUE
k,Maisie Williams,Arya Stark,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmQ0NWY4YTctNWU5Mi00NTMwLThhNjEtNDNiMmRjY2EwNzRlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_CR39,0,100,100_AL_.jpg",yes,TRUE
l,Richard Madden,Robb Stark,21,https://images-na.ssl-images-amazon.com/images/M/MV5BMDdkMjk5YTctMDhkYi00YmRlLTgzZmItODVlNmM4OTJmYmY1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
m,Alfie Allen,Theon Greyjoy,39,https://images-na.ssl-images-amazon.com/images/M/MV5BNzFjOTJkM2QtOWU2Ny00NzI4LTllYjgtYTRhNWZlZjk2Y2E4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
n,Isaac Hempstead-Wright,Bran Stark,30,https://images-na.ssl-images-amazon.com/images/M/MV5BYzI3YWNjNTAtOTJiMS00ZmY3LThhNTAtYjI2MmU5ZmNkMmRlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
o,Jack Gleeson,Joffrey Baratheon,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzA3Mjk1Ml5BMl5BanBnXkFtZTgwNTI1MTA2MTE@._V1_UY100_CR25,0,100,100_AL_.jpg",yes,FALSE
p,Rory McCann,Sandor Clegane,29,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMjEwNDQ1MF5BMl5BanBnXkFtZTcwMzAxODg4OQ@@._V1._SX100_SY140_.jpg,yes,TRUE
q,Peter Dinklage,Tyrion Lannister,54,https://images-na.ssl-images-amazon.com/images/M/MV5BODRkODE0Y2EtZTU5OS00YjBjLTkxMmEtMGQyZjJjMmY3NzgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,TRUE
r,Jason Momoa,Drogo,10,https://images-na.ssl-images-amazon.com/images/M/MV5BMzNkNjE5ZjAtYTU2Ni00ZDJlLTgwYTQtYzU0NDllYWY2OTI1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_UY100_UX100_AL_.jpg,yes,FALSE
